600827.sh	友谊股份
600828.sh	成商集团
600829.sh	三精制药
600830.sh	香溢融通
600831.sh	广电网络
600832.sh	东方明珠
600833.sh	第一医药
600834.sh	申通地铁
600835.sh	上海机电
600836.sh	界龙实业
600837.sh	海通证券
600838.sh	上海九百
600839.sh	四川长虹
600840.sh	新湖创业
600841.sh	上柴股份
600842.sh	中西药业
600843.sh	上工申贝
600844.sh	丹化科技
600845.sh	宝信软件
600846.sh	同济科技
600847.sh	ST渝万里
600848.sh	自仪股份
600849.sh	上海医药
600850.sh	华东电脑
600851.sh	海欣股份
600853.sh	龙建股份
600854.sh	ST春兰
600855.sh	航天长峰
600856.sh	长百集团
600857.sh	工大首创
600858.sh	银座股份
600859.sh	王府井
600860.sh	北人股份
600861.sh	北京城乡
600862.sh	南通科技
600863.sh	内蒙华电
600864.sh	哈投股份
600865.sh	百大集团
600866.sh	星湖科技
600867.sh	通化东宝
600868.sh	ST梅雁
600869.sh	三普药业
600870.sh	*ST厦华
600871.sh	S仪化
600872.sh	中炬高新
600873.sh	五洲明珠
600874.sh	创业环保
600875.sh	东方电气
600876.sh	ST洛玻
600877.sh	中国嘉陵
600879.sh	火箭股份
600880.sh	博瑞传播
600881.sh	亚泰集团
600882.sh	大成股份
600883.sh	博闻科技
600884.sh	杉杉股份
600885.sh	力诺太阳
600886.sh	国投电力
600887.sh	*ST伊利
600888.sh	新疆众和
600889.sh	南京化纤
600890.sh	*ST中房
600891.sh	SST秋林
600892.sh	*ST湖科
600893.sh	航空动力
600894.sh	广钢股份
600895.sh	张江高科
600896.sh	中海海盛
