#symbol,announce_date,alloc_stock,alloc_price,total_share,x_date,registration_date,paydate_start,paydate_end,list_date,amount
600618.sh,19931231,4.00,2,83181.07,19940110,19940107,19940110,19940118,19940124,261144000,
600619.sh,19970811,2.31,,,,,,,,,
600620.sh,19940611,3.00,3.9,4739.89,19940620,19940617,19940620,19940630,19940704,37991818.8,
600620.sh,19930529,6.00,4.5,2500,19930607,19930604,19930607,19930616,19930623,55795230,
600621.sh,20080423,2.50,0,52408.24,,,,,,0,
600621.sh,20010424,3.00,,40314.03,,,,,,,
600621.sh,19991113,1.88,5.7,37403.2,19990924,19990923,19990924,19991014,19991118,165917133.3,
600621.sh,19971211,2.30,4.2,15206.55,19971029,19971028,19971029,19971111,19971216,1180572210.8,
600621.sh,19951020,3.00,3.8,7404.41,19951026,19951025,19951026,19951110,19951226,47029688.6,
600621.sh,19930529,7.00,3.5,5099.3,19930607,19930604,19930607,19930616,19930623,20874000,
600622.sh,19980109,2.31,5,28589.7,19980209,19980123,19980209,19980220,19980325,238956800,
600622.sh,19951014,2.50,3.6,15375.11,19951019,19951018,19951019,19951101,19951122,88978143.6,
600622.sh,19930508,10.00,4.1,10626.15,19930517,19930514,19930517,19930526,19930531,89644204,
600624.sh,19970718,2.14,4.8,13909.05,19970804,19970801,19970804,19970815,19971008,143064504,
600624.sh,19950701,3.00,4.2,5875.68,19950710,19950707,19950710,19950721,19950724,71781263.4,
600624.sh,19930605,7.00,4,4339.09,19930614,19930611,19930614,19930623,19930630,44107400,
600626.sh,20040630,3.00,,33821.09,,,,,,,
600626.sh,20010320,2.73,7.4,30402.12,20010219,20010216,20010219,20010302,20010323,253003624.6,
600626.sh,19930612,6.00,2.5,13655,19930621,19930618,19930621,19930630,19930707,40032000,
600628.sh,20040514,2.50,5.58,31890.34,20040413,20040412,20040413,20040426,20040518,205428860.64,
600628.sh,20000704,3.00,6.88,18890.85,20000510,20000509,20000510,20000523,20000707,223958688.8,
600628.sh,19950617,3.00,5,5096.6,19950630,19950629,19950630,19950714,19950717,77428200,
600628.sh,19930710,9.00,5.8,1500,19930719,19930716,19930719,19930726,19930802,78184000,
600629.sh,19980330,3.00,3,13761.6,,,,,,,
600629.sh,19970310,2.60,3,6063.54,19970120,19970117,19970120,19970131,19970317,47453796,
